Alaska,1723337,733583
Texas,695662,30029572
California,423967,39029342
Montana,380831,1122867
New Mexico,314917,2113344
Arizona,295234,7359197
Nevada,286380,3177772
Colorado,269601,5839926
Oregon,254799,4240137
Wyoming,253335,581381.653
Michigan,250487,10034113
Minnesota,225163,5717184
Utah,219882,3380800
Idaho,216443,1939033
Kansas,213100,2937150
Nebraska,200330,1967923
South Dakota,199729,909824
Washington,184661,7785786
North Dakota,183108,779261
Oklahoma,181037,4019800
Missouri,180540,6177957
Florida,170312,22244823
Wisconsin,169635,5892539
Georgia,153910,10912876
Illinois,149995,12582032
Iowa,145746,3200517
New York,141297,19677151
North Carolina,139391,10698973
Arkansas,137732,3045637
Alabama,135767,5074296
Louisiana,135659,4590241
Mississippi,125438,2940057
Pennsylvania,119280,12972008
Ohio,116098,11756058
Virginia,110787,8683619
Tennessee,109153,7051339
Kentucky,104656,4512310
Indiana,94326,6833037
Maine,91633,1385340
South Carolina,82933,5282634
West Virginia,62756,1775156
Maryland,32131,6164660
Hawaii,28313,1440196
Massachusetts,27336,6981974
Vermont,24906,647064
New Hampshire,24214,1395231
New Jersey,22591,9261699
Connecticut,14357,3626205
Delaware,6446,1018396
Rhode Island,4001,1093734